name,imgUri,price,description
300CE,http://dummyimage.com/155x100.png/ff4444/ffffff,1131289,"Encounter for prophylactic measures, unspecified"
Pathfinder,http://dummyimage.com/196x100.png/cc0000/ffffff,2936254,"Displ suprcndl fx w/o intrcndl extn low end unsp femr, 7thH"
Safari,http://dummyimage.com/177x100.png/ff4444/ffffff,2678831,"Nondisp transverse fracture of shaft of right femur, sequela"
Jimmy,http://dummyimage.com/189x100.png/dddddd/000000,1318603,"Ped w convey injured in collision w hv veh nontraf, sequela"
B-Series Plus,http://dummyimage.com/243x100.png/cc0000/ffffff,1680600,"Rider of nonpowr wtrcrft struck by powered wtrcrft, sequela"
GS,http://dummyimage.com/244x100.png/5fa2dd/ffffff,2703753,"Disp fx of base of 4th MC bone, l hand, 7thK"
Ram Wagon B350,http://dummyimage.com/230x100.png/dddddd/000000,2242151,"Bennett's fracture, left hand, subs for fx w malunion"
Protege,http://dummyimage.com/181x100.png/dddddd/000000,2205621,"Laceration w/o fb of unsp finger w damage to nail, sequela"
Corvette,http://dummyimage.com/150x100.png/ff4444/ffffff,2096051,Resistance to unspecified antibiotic
GLC,http://dummyimage.com/203x100.png/5fa2dd/ffffff,2750336,"Oth fx of low end unsp rad, 7thJ"
Sable,http://dummyimage.com/130x100.png/5fa2dd/ffffff,1369048,"Unsp tear of unsp meniscus, current injury, right knee, init"
Monte Carlo,http://dummyimage.com/240x100.png/cc0000/ffffff,2882499,"Sltr-haris Type II physl fx upper end humer, unsp arm, sqla"
3000GT,http://dummyimage.com/116x100.png/ff4444/ffffff,1696633,"Laceration w foreign body of unsp part of thorax, init"
XJ,http://dummyimage.com/215x100.png/dddddd/000000,2647012,"Open bite of lip, subsequent encounter"
Eldorado,http://dummyimage.com/239x100.png/ff4444/ffffff,2337345,"Toxic effect of 2-Propanol, intentional self-harm, init"
Taurus,http://dummyimage.com/110x100.png/ff4444/ffffff,1279956,Other specified injuries of unspecified foot
Sunbird,http://dummyimage.com/141x100.png/5fa2dd/ffffff,1353159,"Disp fx of greater tuberosity of r humerus, init for opn fx"
Mazda6,http://dummyimage.com/136x100.png/ff4444/ffffff,1449819,Seborrheic keratosis
Mazda6,http://dummyimage.com/229x100.png/dddddd/000000,2655291,"Mtrcy pasngr injured in nonclsn trnsp acc in traf, sequela"
Lumina APV,http://dummyimage.com/166x100.png/dddddd/000000,2505432,Fall into natural body of water striking water surface
7 Series,http://dummyimage.com/151x100.png/ff4444/ffffff,1824373,"Sltr-haris Type II physeal fx unsp metatarsal, sequela"
Supra,http://dummyimage.com/103x100.png/ff4444/ffffff,1779164,"Corrosion of unspecified degree of chin, subs encntr"
Town Car,http://dummyimage.com/174x100.png/5fa2dd/ffffff,1197463,"Complete traumatic amp of left foot at ankle level, sequela"
Sephia,http://dummyimage.com/208x100.png/5fa2dd/ffffff,1902693,Ulcerative (chronic) pancolitis with fistula
3500 Club Coupe,http://dummyimage.com/189x100.png/dddddd/000000,2386243,Hypersensitivity pneumonitis due to unspecified organic dust
Crossfire,http://dummyimage.com/207x100.png/cc0000/ffffff,2062510,"Traum rupt of palmar ligmt of r rng fngr at MCP/IP jt, sqla"
SL-Class,http://dummyimage.com/239x100.png/cc0000/ffffff,1156103,"Pnctr w foreign body of r idx fngr w damage to nail, subs"
Durango,http://dummyimage.com/169x100.png/5fa2dd/ffffff,2289958,"Poisn by anticoag antag, vit K and oth coag, slf-hrm, init"
Monte Carlo,http://dummyimage.com/195x100.png/ff4444/ffffff,1861449,"Subluxation of T1/T2 thoracic vertebra, initial encounter"
Ram Wagon B250,http://dummyimage.com/176x100.png/ff4444/ffffff,1925058,Stevens-Johnson syndrome
Colt,http://dummyimage.com/135x100.png/cc0000/ffffff,1494910,Anterior cord syndrome at C3 level of cervical spinal cord
Eos,http://dummyimage.com/154x100.png/ff4444/ffffff,1537233,"Nondisp fx of base of unsp MC bone, subs for fx w nonunion"
Matrix,http://dummyimage.com/191x100.png/dddddd/000000,1799356,"Nondisp fx of med condyle of r tibia, 7thH"
CLK-Class,http://dummyimage.com/250x100.png/ff4444/ffffff,2242706,Pedal cyclist (driver) (passenger) injured in unsp nontraf
F150,http://dummyimage.com/228x100.png/dddddd/000000,1449890,"Lacerat extn musc/fasc/tend at forarm lv, unsp arm, init"
Durango,http://dummyimage.com/127x100.png/ff4444/ffffff,2786029,Unsp injury of unspecified blood vessel at lower leg level
CLK-Class,http://dummyimage.com/203x100.png/ff4444/ffffff,1550354,"Nondisp fx of olecran pro w intartic extn r ulna, 7thP"
S80,http://dummyimage.com/148x100.png/cc0000/ffffff,2032092,"Fall into natrl body of water strk surfc cause drown, sqla"
Caprice,http://dummyimage.com/100x100.png/cc0000/ffffff,2116001,"Occup of 3-whl mv inj pick-up truck, pk-up/van in traf, init"
M3,http://dummyimage.com/106x100.png/ff4444/ffffff,2957134,Malignant neoplasm of spermatic cord
Savana 1500,http://dummyimage.com/230x100.png/dddddd/000000,1120984,"War operations involving explosion of marine mine, milt"
Sequoia,http://dummyimage.com/131x100.png/ff4444/ffffff,2856321,"Nondisp commnt fx shaft of unsp tibia, 7thB"
Pathfinder,http://dummyimage.com/195x100.png/cc0000/ffffff,2260236,"Velamentous insertion of umbilical cord, unsp trimester"
Axiom,http://dummyimage.com/103x100.png/ff4444/ffffff,2714605,"Minor opacity of cornea, unspecified eye"
Grand Prix,http://dummyimage.com/221x100.png/5fa2dd/ffffff,1998191,"Other fracture of shaft of left femur, sequela"
Acclaim,http://dummyimage.com/139x100.png/5fa2dd/ffffff,2233324,Toxic effect of contact with venomous marine plant
E-Series,http://dummyimage.com/178x100.png/ff4444/ffffff,2640429,Newborn affected by other maternal conditions
Sentra,http://dummyimage.com/216x100.png/ff4444/ffffff,1450738,"Unsp athscl nonbiol bypass of the extrm, bilateral legs"
Accent,http://dummyimage.com/162x100.png/dddddd/000000,2496835,Other cystitis with hematuria
F250,http://dummyimage.com/127x100.png/5fa2dd/ffffff,1789289,"Prsn outsd pk-up/van inj in nonclsn trnsp acc nontraf, init"
F-Series,http://dummyimage.com/128x100.png/cc0000/ffffff,1737259,"Disp fx of med phalanx of r less toe(s), 7thG"
430,http://dummyimage.com/198x100.png/ff4444/ffffff,1846598,"Other contact with turkey, sequela"
Sportage,http://dummyimage.com/195x100.png/cc0000/ffffff,1772588,"Laceration of thoracic trachea, subsequent encounter"
Navigator,http://dummyimage.com/178x100.png/cc0000/ffffff,2570796,"Unspecified sprain of unspecified finger, initial encounter"
